GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
weConnect,com.webapp.weconnect.controller,DonationController,166,62,0,0,49,18,3,2,3,2
weConnect,com.webapp.weconnect.controller,CommunityController,201,1107,30,30,51,252,25,27,0,22
weConnect,com.webapp.weconnect.controller,AdminController,70,258,11,11,20,56,10,12,1,10
weConnect,com.webapp.weconnect.controller,HomeController,0,7,0,0,0,3,0,3,0,3
weConnect,com.webapp.weconnect.controller,RegistrationController,0,9,0,0,0,3,0,2,0,2
weConnect,com.webapp.weconnect.controller,UserRegistrationController,4,29,0,2,1,12,1,4,1,3
weConnect,com.webapp.weconnect.controller,SearchController,0,56,0,0,0,16,0,4,0,4
weConnect,com.webapp.weconnect.controller,ForgotPasswordController,0,160,0,10,0,41,0,10,0,5
weConnect,com.webapp.weconnect.controller,FilterController,0,15,0,0,0,5,0,2,0,2
weConnect,com.webapp.weconnect.controller,UserProfileController,19,86,5,5,5,24,5,4,0,4
weConnect,com.webapp.weconnect.controller,MainController,0,5,0,0,0,2,0,2,0,2
weConnect,com.webapp.weconnect.config,SecurityConfiguration,0,124,0,0,0,23,0,5,0,5
weConnect,com.webapp.weconnect.service,EventService,5,61,1,1,3,20,1,4,0,4
weConnect,com.webapp.weconnect.service,ForgotPasswordService,54,43,1,5,14,13,2,7,1,5
weConnect,com.webapp.weconnect.service,FilterService,0,37,0,0,0,10,0,3,0,3
weConnect,com.webapp.weconnect.service,CommunityImageService,2,33,2,4,1,11,2,4,0,3
weConnect,com.webapp.weconnect.service,PostService,3,51,0,2,2,17,0,5,0,4
weConnect,com.webapp.weconnect.service,CommentService,0,12,0,0,0,4,0,2,0,2
weConnect,com.webapp.weconnect.service,SearchService,0,11,0,0,0,4,0,2,0,2
weConnect,com.webapp.weconnect.service,UserServiceImpl,0,195,0,6,0,42,0,15,0,12
weConnect,com.webapp.weconnect.service,EmailService,0,24,0,0,0,8,0,2,0,2
weConnect,com.webapp.weconnect.service,DonationService,0,11,0,2,0,4,0,3,0,2
weConnect,com.webapp.weconnect.service,LocationService,0,10,0,0,0,4,0,2,0,2
weConnect,com.webapp.weconnect.service,CommunityService,0,94,0,0,0,17,0,7,0,7
weConnect,com.webapp.weconnect,WeConnect,5,3,0,0,2,1,1,1,1,1
weConnect,com.webapp.weconnect.model,Donation,25,27,0,0,9,12,8,7,8,7
weConnect,com.webapp.weconnect.model,CommunityMember,3,3,0,0,1,1,1,1,1,1
weConnect,com.webapp.weconnect.model,VerificationToken,3,61,0,0,1,22,1,10,1,10
weConnect,com.webapp.weconnect.model,CommunityImage,3,21,0,0,1,9,1,6,1,6
weConnect,com.webapp.weconnect.model,Comment,28,10,0,0,10,4,8,3,8,3
weConnect,com.webapp.weconnect.model,Location,0,23,0,0,0,11,0,6,0,6
weConnect,com.webapp.weconnect.model,Message,10,47,0,4,4,15,3,12,3,10
weConnect,com.webapp.weconnect.model,Role,0,23,0,0,0,11,0,6,0,6
weConnect,com.webapp.weconnect.model,ForgotPasswordToken,3,35,0,0,1,15,1,10,1,10
weConnect,com.webapp.weconnect.model,Community,0,43,0,0,0,18,0,11,0,11
weConnect,com.webapp.weconnect.model,EventMember,12,15,0,0,4,7,4,4,4,4
weConnect,com.webapp.weconnect.model,User,15,94,0,0,5,38,4,19,4,19
weConnect,com.webapp.weconnect.model,Event,15,60,0,4,5,22,5,16,5,14
weConnect,com.webapp.weconnect.web.dto,UserRegistrationDto,0,66,0,0,0,27,0,14,0,14
